AAL,"American Airlines Group, Inc.",38.9,23457400784,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal
AAME,Atlantic American Corporation,4.9,99930634.3,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aame
AAON,"AAON, Inc.",26.91,1427558412,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
AAPL,Apple Inc.,110.96,6.15E+11,n/a,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
AAWW,Atlas Air Worldwide Holdings,39.12,963785787.1,n/a,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/aaww
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,53.64,3030660000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaxj
ABAC,"Aoxin Tianli Group, Inc.",0.65,21568950,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/abac
ABAX,"ABAXIS, Inc.",44.53,1008248260,n/a,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABCB,Ameris Bancorp,28.51,918346586.4,n/a,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb
ABCD,"Cambium Learning Group, Inc.",4.14,189346286.5,n/a,n/a,Consumer Services,Publishing,http://www.nasdaq.com/symbol/abcd
ABCO,The Advisory Board Company,32.69,1359306492,n/a,2001,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/abco
ABEO,Abeona Therapeutics Inc.,2.96,96919318.48,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
ABIO,"ARCA biopharma, Inc.",3.57,32332229.79,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/abio
ABMD,"ABIOMED, Inc.",97.22,4125759556,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
ABTL,Autobytel Inc.,18.06,191916829.4,n/a,1999,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/abtl
ABUS,Arbutus Biopharma Corporation,4.7,256740804.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abus
ACAD,ACADIA Pharmaceuticals Inc.,32.86,3701233977,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACAS,"American Capital, Ltd.",15.34,3671639447,n/a,1997,n/a,n/a,http://www.nasdaq.com/symbol/acas
